split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
test,1865,15,-1.0,84.4237318515863,88.01791713325868,59.014557670772675
valid,1924,16,10.323947356919112,86.01895734597156,89.60000000000001,60.199999999999996
test,1924,16,-1.0,84.1878809609179,86.00223964165733,57.89473684210527
valid,1980,17,10.21610016482217,86.72985781990522,91.0,62.6
test,1980,17,-1.0,84.53127800681126,86.89809630459126,58.566629339305706
valid,2034,18,10.212405487343117,87.31144631765748,90.60000000000001,63.2
test,2034,18,-1.0,85.01879362806514,86.33818589025756,59.238521836506166
valid,2085,19,10.130843573925542,87.25982855453738,90.60000000000001,63.0
test,2085,19,-1.0,85.19247985675918,86.45016797312431,59.3505039193729
valid,2134,20,10.017184607836665,87.89846517119244,91.0,64.2
test,2134,20,-1.0,85.91372829783424,87.68197088465845,61.254199328107504
valid,2181,21,10.003889530263049,88.14858490566039,91.0,64.8
test,2181,21,-1.0,86.66785650544351,87.2340425531915,61.702127659574465
valid,2226,22,10.000273916456434,88.03066037735849,91.60000000000001,65.4
test,2226,22,-1.0,86.94409716020718,87.45800671892498,62.597984322508395
valid,2270,23,9.949179410934448,88.46947803007963,91.0,65.4
test,2270,23,-1.0,87.13189362841335,87.90593505039193,63.38185890257558
valid,2312,24,9.887829689752488,88.79716981132076,92.4,66.4
test,2312,24,-1.0,87.43754461099215,88.24188129899217,63.60582306830908
valid,2352,25,9.877830028533936,88.91509433962264,91.60000000000001,66.60000000000001
test,2352,25,-1.0,87.34606460824558,88.3538633818589,64.16573348264278
valid,2391,26,9.876091101230719,88.30633284241532,91.60000000000001,65.60000000000001
test,2391,26,-1.0,87.69175882982518,87.45800671892498,63.71780515117581
valid,2429,27,9.755282000491494,88.29944002357796,91.2,65.60000000000001
test,2429,27,-1.0,87.72743489118803,88.57782754759238,64.83762597984322
valid,2466,28,9.735480927132272,88.46380223660978,91.0,65.60000000000001
test,2466,28,-1.0,87.5847306457367,87.79395296752519,64.501679731243
valid,2501,29,9.69684658050537,88.73820754716982,91.0,66.4
test,2501,29,-1.0,88.10415551988586,88.3538633818589,65.39753639417694
valid,2535,30,9.705917498644661,88.70539663815984,91.4,67.2
test,2535,30,-1.0,88.22376625690363,89.69764837625979,66.74132138857783
valid,2568,31,9.580370498426033,89.41939286766875,92.2,68.60000000000001
test,2568,31,-1.0,88.34224598930481,89.36170212765957,66.96528555431132
valid,2600,32,9.690669417381287,89.41939286766875,91.60000000000001,68.2
test,2600,32,-1.0,88.88493053081582,89.69764837625979,67.63717805151175
valid,2632,33,9.7337766289711,88.51590106007068,92.4,67.2
test,2632,33,-1.0,88.78205128205128,89.80963045912654,67.7491601343785
valid,2663,34,9.636779169882498,88.91509433962264,91.8,67.80000000000001
test,2663,34,-1.0,88.82552129745143,89.92161254199328,67.52519596864501
valid,2693,35,9.657327556610108,88.96084780688842,91.60000000000001,68.0
test,2693,35,-1.0,89.14204343182627,90.36954087346024,68.75699888017918
valid,2722,36,9.581634061089877,88.3720930232558,91.8,66.8
test,2722,36,-1.0,88.9126559714795,90.2575587905935,67.30123180291153
valid,2750,37,9.574951410293579,88.59494415049971,92.4,67.2
test,2750,37,-1.0,88.83737517831669,90.2575587905935,67.30123180291153
valid,2778,38,9.52132783617292,88.85621875918848,92.80000000000001,68.4
test,2778,38,-1.0,89.20171062009979,90.14557670772676,68.08510638297872
valid,2805,39,9.503977846216273,89.11124190700413,92.0,67.4
test,2805,39,-1.0,89.0156918687589,89.92161254199328,67.52519596864501
valid,2832,40,9.578196454931188,88.12960235640648,91.0,66.0
test,2832,40,-1.0,88.55970016062824,88.9137737961926,66.18141097424413
valid,2858,41,9.481215990506685,89.55575169167402,92.0,68.4
test,2858,41,-1.0,89.08670108598896,89.02575587905936,67.86114221724524
valid,2883,42,9.444963417053224,89.69768124449662,92.2,68.4
test,2883,42,-1.0,89.00766078745768,89.80963045912654,67.7491601343785
valid,2908,43,9.440083465576173,89.35920047031158,91.4,67.60000000000001
test,2908,43,-1.0,89.0274314214464,89.13773796192609,67.30123180291153
valid,2932,44,9.481473922729492,89.16372202591285,92.4,67.80000000000001
test,2932,44,-1.0,89.157913476945,89.47368421052632,67.97312430011199
valid,2956,45,9.527878443400065,89.50471698113206,92.60000000000001,69.0
test,2956,45,-1.0,89.05135520684736,89.69764837625979,67.97312430011199
